poison_method,model_name,noise_multiplier,max_grad_norm,epsilon_theoretical,epsilon_empirical_lb,gap_ratio,attack_advantage,clean_acc_mean,utility_drop,privacy_utility_score
square,logreg,0.8,1.0,11.24642254152866,0.0183763322170968,612.0058349328976,0.48,0.9385333333333332,0.0028666666666665,0.017246800330152582
square,logreg,0.8,1.0,11.24642254152866,0.0183763322170968,612.0058349328976,0.48,0.9385333333333332,0.0028666666666665,0.017246800330152582
square,logreg,0.8,1.0,11.24642254152866,0.0183763322170968,612.0058349328976,0.48,0.9385333333333332,0.0028666666666665,0.017246800330152582
square,mlp,0.4,0.5,43.40606478401999,0.0136171826508282,3187.5951066412304,0.52,0.9294,0.0296666666666667,0.01265580955567973
square,mlp,0.4,0.5,43.40606478401999,0.0136171826508282,3187.5951066412304,0.52,0.9294,0.0296666666666667,0.01265580955567973
square,mlp,0.4,0.5,43.40606478401999,0.0136171826508282,3187.5951066412304,0.52,0.9294,0.0296666666666667,0.01265580955567973
square,mlp,1.2,0.5,5.490864242694175,0.0102607455917233,535.1330654882727,0.48,0.9296,0.0301333333333332,0.00953838910206598
square,mlp,1.2,0.5,5.490864242694175,0.0102607455917233,535.1330654882727,0.48,0.9296,0.0301333333333332,0.00953838910206598
square,mlp,1.2,0.5,5.490864242694175,0.0102607455917233,535.1330654882727,0.48,0.9296,0.0301333333333332,0.00953838910206598
square,mlp,0.8,0.5,11.24642254152866,0.0083206693854299,1351.624733608795,0.48,0.9297333333333332,0.0300666666666665,0.0077360036832803585
square,mlp,0.8,0.5,11.24642254152866,0.0083206693854299,1351.624733608795,0.48,0.9297333333333332,0.0300666666666665,0.0077360036832803585
square,mlp,0.8,0.5,11.24642254152866,0.0083206693854299,1351.624733608795,0.48,0.9297333333333332,0.0300666666666665,0.0077360036832803585
square,logreg,1.2,1.0,5.490864242694175,0.0070166006156453,782.5533393550766,0.44,0.9382666666666668,0.0026000000000001,0.006583442470972797
square,logreg,1.2,1.0,5.490864242694175,0.0070166006156453,782.5533393550766,0.44,0.9382666666666668,0.0026000000000001,0.006583442470972797
square,logreg,1.2,1.0,5.490864242694175,0.0070166006156453,782.5533393550766,0.44,0.9382666666666668,0.0026000000000001,0.006583442470972797
svd_lowvar,mlp,0.8,0.5,11.24642254152866,0.0027293391900921,4120.566099792435,0.44,0.9297333333333332,0.0358666666666666,0.002537557623001628
svd_lowvar,mlp,0.8,0.5,11.24642254152866,0.0027293391900921,4120.566099792435,0.44,0.9297333333333332,0.0357999999999999,0.002537557623001628
svd_lowvar,mlp,0.8,0.5,11.24642254152866,0.0027293391900921,4120.566099792435,0.44,0.9297333333333332,0.0357333333333332,0.002537557623001628
svd_lowvar,mlp,1.2,0.5,5.490864242694175,0.0027293391900921,2011.79254767114,0.44,0.9296,0.0358666666666666,0.002537193711109616
svd_lowvar,mlp,1.2,0.5,5.490864242694175,0.0027293391900921,2011.79254767114,0.44,0.9296,0.0357999999999998,0.002537193711109616
svd_lowvar,mlp,1.2,0.5,5.490864242694175,0.0027293391900921,2011.79254767114,0.44,0.9296,0.0357333333333332,0.002537193711109616
svd_lowvar,mlp,0.4,0.5,43.40606478401999,0.0,,0.4,0.9294,0.0355333333333334,0.0
svd_lowvar,mlp,0.4,0.5,43.40606478401999,0.0,,0.4,0.9294,0.0354666666666666,0.0
svd_lowvar,mlp,0.4,0.5,43.40606478401999,0.0,,0.4,0.9294,0.0354666666666666,0.0
svd_lowvar,mlp,0.8,1.0,11.24642254152866,0.0,,0.4,0.9374666666666668,0.0090666666666666,0.0
svd_lowvar,mlp,0.8,1.0,11.24642254152866,0.0,,0.4,0.9374666666666668,0.0090666666666666,0.0
svd_lowvar,mlp,0.8,1.0,11.24642254152866,0.0,,0.4,0.9374666666666668,0.0090666666666666,0.0
svd_lowvar,mlp,0.4,1.0,43.40606478401999,0.0,,0.36,0.9374,0.0085999999999999,0.0
svd_lowvar,mlp,0.4,1.0,43.40606478401999,0.0,,0.36,0.9374,0.0085999999999999,0.0
svd_lowvar,mlp,0.4,1.0,43.40606478401999,0.0,,0.36,0.9374,0.0087333333333331,0.0
svd_lowvar,logreg,0.4,1.0,43.40606478401999,0.0,,0.32,0.9385333333333332,0.0029999999999998,0.0
svd_lowvar,logreg,0.8,1.0,11.24642254152866,0.0,,0.24,0.9385333333333332,0.0029999999999998,0.0
svd_lowvar,logreg,0.8,1.0,11.24642254152866,0.0,,0.24,0.9385333333333332,0.0029999999999998,0.0
