seed,num_trials,poisoning_k,alpha,delta,batch_size,epochs,learning_rate,weight_decay,trigger_size,target_label,poison_method,svd_scale,model_name,noise_multiplier,max_grad_norm,epsilon_theoretical,epsilon_empirical_lb,gap_ratio,attack_advantage,utility_drop,threshold,clean_trigger_mean,poison_trigger_mean,clean_acc_mean,poison_acc_mean,n_trials,n_estimation_trials,debug
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,1.0,logreg,0.8,1.0,11.24642254152866,0.0183763322170968,612.0058349328976,0.48,0.0028666666666665,0.4783333333333333,0.4618666666666666,0.4854,0.9385333333333332,0.9356666666666666,50,25,"{'p_clean_lo': 0.00983959001879751, 'p_clean_hi': 0.2603058421052141, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.7396941578947858, 'p_clean_miss_hi': 0.9901604099812025, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.3418125047311007, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,2.0,logreg,0.8,1.0,11.24642254152866,0.0183763322170968,612.0058349328976,0.48,0.0028666666666665,0.4783333333333333,0.4618666666666666,0.4854,0.9385333333333332,0.9356666666666666,50,25,"{'p_clean_lo': 0.00983959001879751, 'p_clean_hi': 0.2603058421052141, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.7396941578947858, 'p_clean_miss_hi': 0.9901604099812025, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.3418125047311007, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,0.5,logreg,1.2,0.5,5.490864242694175,0.0400948945201146,136.94671873845547,0.68,0.0495999999999998,0.5149999999999999,0.4684,0.599,0.9287333333333332,0.8791333333333334,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5929625677213227, 'p_poison_hi': 0.931688535987516, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.068311464012484, 'p_poison_miss_hi': 0.40703743227867717, 'ratio': 1.8993625166512873, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,1.0,logreg,1.2,0.5,5.490864242694175,0.0400948945201146,136.94671873845547,0.68,0.0495999999999998,0.5149999999999999,0.4684,0.599,0.9287333333333332,0.8791333333333334,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5929625677213227, 'p_poison_hi': 0.931688535987516, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.068311464012484, 'p_poison_miss_hi': 0.40703743227867717, 'ratio': 1.8993625166512873, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,2.0,logreg,1.2,0.5,5.490864242694175,0.0400948945201146,136.94671873845547,0.68,0.0495999999999998,0.5149999999999999,0.4684,0.599,0.9287333333333332,0.8791333333333334,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5929625677213227, 'p_poison_hi': 0.931688535987516, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.068311464012484, 'p_poison_miss_hi': 0.40703743227867717, 'ratio': 1.8993625166512873, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,0.5,logreg,1.2,1.0,5.490864242694175,0.0070166006156453,782.5533393550766,0.44,0.0026000000000001,0.4783333333333333,0.4620666666666666,0.4853333333333332,0.9382666666666668,0.9356666666666664,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.1188099881367963, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,1.0,logreg,1.2,1.0,5.490864242694175,0.0070166006156453,782.5533393550766,0.44,0.0026000000000001,0.4783333333333333,0.4620666666666666,0.4853333333333332,0.9382666666666668,0.9356666666666664,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.1188099881367963, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,2.0,logreg,1.2,1.0,5.490864242694175,0.0070166006156453,782.5533393550766,0.44,0.0026000000000001,0.4783333333333333,0.4620666666666666,0.4853333333333332,0.9382666666666668,0.9356666666666664,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.1188099881367963, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,svd_lowvar,0.5,logreg,0.4,0.5,43.40606478401999,0.0400948945201146,1082.583338939681,0.68,0.0558666666666667,0.5083333333333333,0.4678000000000001,0.579,0.9282666666666668,0.8724,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5929625677213227, 'p_poison_hi': 0.931688535987516, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.068311464012484, 'p_poison_miss_hi': 0.40703743227867717, 'ratio': 1.8993625166512873, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,svd_lowvar,1.0,logreg,0.4,0.5,43.40606478401999,0.0400948945201146,1082.583338939681,0.68,0.0558000000000001,0.5083333333333333,0.4678000000000001,0.5792,0.9282666666666668,0.8724666666666665,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5929625677213227, 'p_poison_hi': 0.931688535987516, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.068311464012484, 'p_poison_miss_hi': 0.40703743227867717, 'ratio': 1.8993625166512873, 'direction': 'event_poison_vs_clean'}"
